#t[s]	dt[s]	p1[mbar]	dp1[mbar]	p2[mbar]	dp2[mbar]	p3[mbar]	dp3[mbar]
0	0	2.00E-04	6.00E-05	2.00E-04	6.00E-05	2.00E-04	6.00E-05
10	0.2	5.20E-04	1.56E-04	5.00E-04	1.50E-04	5.00E-04	1.50E-04
20	0.2	8.14E-04	2.44E-04	7.93E-04	2.38E-04	7.84E-04	2.35E-04
30	0.2	1.24E-03	3.72E-04	1.23E-03	3.69E-04	1.18E-03	3.54E-04
40	0.2	1.68E-03	5.04E-04	1.68E-03	5.04E-04	1.63E-03	4.89E-04
50	0.2	2.22E-03	6.66E-04	2.15E-03	6.45E-04	2.08E-03	6.24E-04
60	0.2	2.66E-03	7.98E-04	2.64E-03	7.92E-04	2.58E-03	7.74E-04
70	0.2	3.25E-03	9.75E-04	3.24E-03	9.72E-04	3.13E-03	9.39E-04
80	0.2	3.82E-03	1.15E-03	3.81E-03	1.14E-03	3.68E-03	1.10E-03
90	0.2	4.41E-03	1.32E-03	4.30E-03	1.29E-03	4.26E-03	1.28E-03
100	0.2	4.99E-03	1.50E-03	4.98E-03	1.49E-03	4.87E-03	1.46E-03
110	0.2	5.71E-03	1.71E-03	5.72E-03	1.72E-03	5.57E-03	1.67E-03
120	0.2	6.24E-03	1.87E-03	6.21E-03	1.86E-03	6.12E-03	1.84E-03
