#t[s]	dt[s]	p1[mbar]	dp1[mbar]	p2[mbar]	dp2[mbar]	p3[mbar]	dp3[mbar]
0	0	1.00E-04	3.00E-05	1.00E-04	3.00E-05	1.00E-04	3.00E-05
10	0.2	2.53E-04	7.59E-05	2.45E-04	7.35E-05	2.57E-04	7.71E-05
20	0.2	3.92E-04	1.18E-04	3.82E-04	1.15E-04	3.96E-04	1.19E-04
30	0.2	5.07E-04	1.52E-04	5.00E-04	1.50E-04	5.14E-04	1.54E-04
40	0.2	6.21E-04	1.86E-04	6.20E-04	1.86E-04	6.32E-04	1.90E-04
50	0.2	7.40E-04	2.22E-04	7.32E-04	6.96E-05	7.47E-04	2.24E-04
60	0.2	8.90E-04	2.67E-04	8.83E-04	2.65E-04	8.06E-04	2.42E-04
70	0.2	1.06E-03	3.18E-04	1.05E-03	3.15E-04	1.06E-03	3.18E-04
80	0.2	1.25E-03	3.75E-04	1.23E-03	3.69E-04	1.24E-03	3.72E-04
90	0.2	1.44E-03	4.32E-04	1.42E-03	4.26E-04	1.43E-03	4.29E-04
100	0.2	1.61E-03	4.83E-04	1.59E-03	4.77E-04	1.61E-03	4.83E-04
110	0.2	1.81E-03	5.43E-04	1.78E-03	5.34E-04	1.75E-03	5.25E-04
120	0.2	1.99E-03	5.97E-04	1.93E-03	5.79E-04	1.93E-03	5.79E-04
