# t[s]	T[°C]	I[Ae-11]	dI[Ae-11]
0	-51.5	0.015	0.01
60	-50.3	0.1	0.005
120	-48.8	0.07	0.001
180	-47.2	0.05	0.001
240	-45.7	0.04	0.001
300	-44	0.03	0.005
360	-42.5	0.04	0.001
420	-41	0.05	0.001
480	-39.6	0.055	0.001
540	-38.1	0.072	0.001
600	-36.5	0.09	0.005
660	-35	0.12	0.005
720	-33.4	0.15	0.005
780	-31.9	0.18	0.005
840	-30.3	0.22	0.005
900	-28.9	0.26	0.01
960	-27.6	0.34	0.01
1020	-26.2	0.4	0.01
1080	-24.9	0.46	0.05
1140	-23.6	0.54	0.05
1200	-22.2	0.61	0.05
1260	-21	0.7	0.05
1320	-19.6	0.77	0.05
1380	-18.2	0.85	0.01
1440	-16.8	0.96	0.01
1500	-15.4	1.2	0.05
1560	-14	1.5	0.05
1620	-12.5	1.8	0.05
1680	-11	2.5	0.1
1740	-9.5	3	0.1
1800	-8.1	3.5	0.1
1860	-7	3	0.1
1920	-5.5	3.5	0.1
1980	-3.8	3.7	0.1
2040	-2.3	4	0.1
2100	-1	3.6	0.1
2160	0.3	3.4	0.1
2220	1.8	3	0.1
2280	3.2	2.2	0.1
2340	4.5	1.8	0.1
2400	6	1.1	0.05
2460	7.5	1.3	0.05
2520	8.9	1.3	0.05
2580	10.3	0.8	0.05
2640	11.8	0.8	0.05
2700	13.2	0.8	0.05
2760	14.8	0.8	0.05
2820	16.4	0.85	0.01
2880	17.8	0.94	0.01
2940	19.4	1.1	0.05
3000	20.8	1.2	0.05
3060	22.4	1.35	0.05
3120	24	1.5	0.05
3180	25.5	1.75	0.05
3240	27	2	0.05
3300	28.5	2.25	0.05
3360	30	2.5	0.05
3420	31.2	2.8	0.05
3480	32.6	3.1	0.1
3540	34.2	3.4	0.1
3600	35.6	3.6	0.1
3660	37.2	3.9	0.1
3720	38.7	4.1	0.1
3780	40.2	4.2	0.1
3840	41.8	4.25	0.1
3900	43.1	4.2	0.1
3960	44.6	4	0.1
4020	46.1	3.8	0.1
4080	47.4	3.6	0.1
4140	49	3.2	0.1
4200	50.4	3	0.1
4260	51.7	2.6	0.1
4320	53.2	2.3	0.1
4380	54.7	2.1	0.1
4440	56.3	1.9	0.1
4500	57.8	1.7	0.1
4560	59.5	1.5	0.1
